participantID,runID,backgroundCamera,gameDuration,score,
5,0,false,0,0,
5,0,false,10550,1,
5,0,false,11561,2,
5,0,false,13260,3,
5,0,false,14532,4,
5,0,false,15490,5,
5,0,false,17537,6,
5,0,false,19042,7,
5,0,false,20150,8,
5,0,false,21491,9,
5,0,false,23765,10,
5,0,false,24970,11,
5,0,false,26143,12,
5,0,false,27034,13,
5,0,false,28256,14,
5,0,false,29676,15,
5,0,false,30770,16,
5,0,false,32274,17,
5,0,false,33491,18,
5,0,false,34262,19,
5,0,false,35416,20,
5,0,false,36701,21,
5,0,false,40268,22,
5,0,false,42249,23,
5,0,false,45237,24,
5,0,false,46628,25,
5,0,false,47952,26,
5,0,false,49295,27,
5,0,false,50459,28,
5,0,false,54165,29,
5,0,false,55817,30,
5,0,false,56799,31,
5,0,false,58120,32,
5,0,false,64272,1,
5,0,false,65240,2,
5,0,false,66452,3,
5,0,false,67226,4,
5,0,false,68210,5,
5,0,false,69700,6,
5,0,false,71256,7,
5,0,false,72639,8,
5,0,false,73807,9,
5,1,false,0,0,
5,1,false,6506,1,
5,1,false,9029,2,
5,1,false,12128,3,
5,1,false,13372,4,
5,1,false,14546,5,
5,1,false,16815,6,
5,1,false,18292,7,
5,1,false,19171,8,
5,1,false,22291,9,
5,1,false,23469,10,
5,1,false,25445,11,
5,1,false,26340,12,
5,1,false,27328,13,
5,1,false,28592,14,
5,1,false,29746,15,
5,1,false,31595,16,
5,1,false,32893,17,
5,1,false,33791,18,
5,1,false,34801,19,
5,1,false,35570,20,
5,1,false,37833,21,
5,1,false,39578,22,
5,1,false,41355,23,
5,1,false,42728,24,
5,1,false,43351,25,
5,1,false,44057,26,
5,1,false,44510,27,
5,1,false,46278,1,
5,1,false,47409,2,
5,1,false,50650,3,
5,1,false,51475,4,
5,1,false,52959,5,
5,1,false,54332,6,
5,1,false,56555,7,
5,1,false,58595,8,
5,1,false,60219,9,
5,1,false,62538,10,
5,1,false,64669,11,
5,1,false,65237,12,
5,2,true,0,0,
5,2,true,6040,1,
5,2,true,7857,2,
5,2,true,12013,3,
5,2,true,13059,4,
5,2,true,15237,5,
5,2,true,16852,6,
5,2,true,17766,7,
5,2,true,19803,8,
5,2,true,20600,9,
5,2,true,21663,10,
5,2,true,22650,11,
5,2,true,24435,12,
5,2,true,25574,13,
5,2,true,26922,14,
5,2,true,28579,15,
5,2,true,29049,16,
5,2,true,29507,17,
5,2,true,31053,18,
5,2,true,31892,19,
5,2,true,36021,20,
5,2,true,36964,21,
5,2,true,39638,1,
5,2,true,40796,2,
5,2,true,44043,3,
5,2,true,44764,4,
5,2,true,45587,5,
5,2,true,46503,6,
5,2,true,47315,7,
5,2,true,48194,8,
5,2,true,48855,9,
5,2,true,53803,10,
5,2,true,54507,11,
5,2,true,55108,12,
5,2,true,56100,13,
5,2,true,56763,14,
5,2,true,57593,15,
5,2,true,58614,16,
5,2,true,59306,17,
5,2,true,60710,18,
5,2,true,61787,19,
