participantID,runID,backgroundCamera,gameDuration,score,
1,0,false,0,0,
1,0,false,25664,1,
1,0,false,31801,2,
1,0,false,34191,3,
1,0,false,36340,4,
1,0,false,38687,5,
1,0,false,40111,6,
1,0,false,42963,7,
1,0,false,44121,8,
1,0,false,45403,9,
1,0,false,47061,10,
1,0,false,48205,11,
1,0,false,49479,12,
1,0,false,50709,13,
1,0,false,52156,14,
1,0,false,53380,15,
1,0,false,54273,16,
1,0,false,55326,17,
1,0,false,56457,18,
1,0,false,57593,19,
1,0,false,58403,20,
1,0,false,59166,21,
1,0,false,60285,22,
1,0,false,61335,23,
1,0,false,62766,24,
1,0,false,63804,25,
1,0,false,65106,26,
1,0,false,66125,27,
1,0,false,67337,28,
1,0,false,68095,29,
1,0,false,68745,30,
1,0,false,69504,31,
1,0,false,70108,32,
1,0,false,77349,1,
1,0,false,78784,2,
1,0,false,80024,3,
1,0,false,81454,4,
1,0,false,83250,5,
1,0,false,84265,6,
1,0,false,85366,7,
1,0,false,86600,8,
1,0,false,87880,9,
1,0,false,88816,10,
1,0,false,90154,11,
1,0,false,91644,12,
1,0,false,93107,13,
1,0,false,94389,14,
1,0,false,96168,15,
1,0,false,97114,16,
1,0,false,98491,17,
1,0,false,99310,18,
1,0,false,100607,19,
1,0,false,101409,20,
1,0,false,102677,21,
1,0,false,103648,22,
1,0,false,105029,23,
1,0,false,106308,24,
1,0,false,107697,25,
1,0,false,109110,26,
1,0,false,109963,27,
1,0,false,111222,28,
1,0,false,112554,29,
1,1,false,0,0,
1,2,false,0,0,
1,2,false,11338,1,
1,2,false,12424,2,
1,2,false,13856,3,
1,2,false,15912,4,
1,2,false,17595,5,
1,2,false,19220,6,
1,2,false,20700,7,
1,2,false,22224,8,
1,2,false,23669,9,
1,2,false,25684,10,
1,2,false,27433,11,
1,2,false,28654,12,
1,2,false,30497,13,
1,2,false,32225,14,
1,2,false,33974,15,
1,2,false,36008,16,
1,2,false,38179,17,
1,2,false,39684,18,
1,2,false,40877,19,
1,2,false,42156,20,
1,2,false,43574,21,
1,2,false,45142,22,
1,2,false,47119,23,
1,2,false,48181,24,
1,2,false,49752,25,
1,2,false,51338,26,
1,2,false,52747,27,
1,2,false,54018,28,
1,2,false,54885,29,
1,2,false,56186,30,
1,2,false,57696,31,
1,2,false,59864,32,
1,2,false,61247,33,
1,2,false,62600,34,
1,2,false,64668,35,
1,2,false,66936,36,
1,2,false,68488,37,
1,2,false,69774,38,
1,2,false,71869,39,
1,2,false,73308,40,
1,2,false,74796,41,
1,2,false,76011,42,
1,2,false,76849,43,
1,2,false,77950,44,
1,2,false,79138,45,
