participantID,runID,backgroundCamera,gameDuration,score,
12,0,false,0,0,
12,0,false,18212,1,
12,0,false,21121,2,
12,0,false,23471,3,
12,0,false,25415,4,
12,0,false,27064,5,
12,0,false,28947,6,
12,0,false,32033,7,
12,0,false,34834,8,
12,0,false,36534,9,
12,0,false,38101,10,
12,0,false,39659,11,
12,0,false,40822,12,
12,0,false,42254,13,
12,0,false,43577,14,
12,0,false,44658,15,
12,0,false,46541,16,
12,0,false,47456,17,
12,0,false,48777,18,
12,0,false,50476,19,
12,0,false,51646,20,
12,0,false,52848,21,
12,0,false,54301,22,
12,0,false,55392,23,
12,0,false,56134,24,
12,0,false,58053,25,
12,0,false,59243,26,
12,0,false,60472,27,
12,0,false,62006,28,
12,0,false,62890,29,
12,0,false,64085,30,
12,0,false,65273,31,
12,0,false,66448,32,
12,0,false,67287,33,
12,0,false,68258,34,
12,0,false,69994,35,
12,0,false,76592,1,
12,0,false,78034,2,
12,0,false,79554,3,
12,0,false,81793,4,
12,0,false,84990,5,
12,0,false,86220,6,
12,0,false,87806,7,
12,0,false,89316,8,
12,0,false,91446,9,
12,1,true,0,0,
12,1,true,14351,1,
12,1,true,15870,2,
12,1,true,17566,3,
12,1,true,20332,4,
12,1,true,21725,5,
12,1,true,24749,6,
12,1,true,26594,7,
12,1,true,29763,8,
12,1,true,32297,9,
12,1,true,34141,10,
12,1,true,35443,11,
12,1,true,37981,12,
12,1,true,39326,13,
12,1,true,40178,14,
12,1,true,43902,15,
12,1,true,45372,16,
12,1,true,47030,17,
12,1,true,48778,18,
12,1,true,50522,19,
12,1,true,52214,20,
12,1,true,57106,1,
12,1,true,58419,2,
12,1,true,61026,3,
12,1,true,63078,4,
12,1,true,65403,5,
12,1,true,67005,6,
12,1,true,69121,7,
12,1,true,69922,8,
12,1,true,72539,9,
12,1,true,74134,10,
12,1,true,75495,11,
12,1,true,77607,12,
12,1,true,79300,13,
12,1,true,80541,14,
12,1,true,82176,15,
12,2,false,0,0,
12,2,false,4220,1,
12,2,false,6816,2,
12,2,false,9033,3,
12,2,false,11154,4,
12,2,false,14696,5,
12,2,false,15707,6,
12,2,false,17559,7,
12,2,false,19375,8,
12,2,false,21956,9,
12,2,false,24058,10,
12,2,false,25273,11,
12,2,false,27493,12,
12,2,false,28638,13,
12,2,false,30364,14,
12,2,false,31872,15,
12,2,false,34923,16,
12,2,false,36937,17,
12,2,false,38059,18,
12,2,false,39415,19,
12,2,false,41106,20,
12,2,false,41962,21,
12,2,false,42984,22,
12,2,false,46858,1,
12,2,false,48278,2,
12,2,false,50470,3,
12,2,false,52279,4,
12,2,false,53742,5,
12,2,false,55230,6,
12,2,false,57022,7,
12,2,false,58412,8,
12,2,false,59200,9,
12,2,false,61483,10,
12,2,false,62827,11,
12,2,false,64006,12,
12,2,false,65483,13,
12,2,false,66633,14,
12,2,false,67654,15,
12,2,false,68569,16,
12,2,false,68845,17,
