participantID,runID,backgroundCamera,gameDuration,score,
10,0,false,0,0,
10,0,false,15936,1,
10,0,false,18827,2,
10,0,false,22233,3,
10,0,false,24158,4,
10,0,false,26370,5,
10,0,false,27911,6,
10,0,false,30874,7,
10,0,false,34366,8,
10,0,false,36020,9,
10,0,false,38113,10,
10,0,false,40251,11,
10,0,false,41673,12,
10,0,false,44086,13,
10,0,false,46362,14,
10,0,false,46637,15,
10,0,false,47690,16,
10,0,false,54853,1,
10,0,false,56289,2,
10,0,false,58603,3,
10,0,false,60741,4,
10,0,false,62697,5,
10,0,false,65278,6,
10,0,false,67385,7,
10,0,false,68797,8,
10,0,false,71155,9,
10,0,false,73194,10,
10,0,false,75059,11,
10,0,false,76179,12,
10,0,false,77711,13,
10,0,false,79556,14,
10,0,false,80930,15,
10,0,false,82200,16,
10,0,false,90379,1,
10,0,false,92030,2,
10,0,false,94226,3,
10,0,false,96265,4,
10,1,true,0,0,
10,1,true,16414,1,
10,1,true,18656,2,
10,1,true,20892,3,
10,1,true,22133,4,
10,1,true,23398,5,
10,1,true,27644,6,
10,1,true,28832,7,
10,1,true,29749,8,
10,1,true,30894,9,
10,1,true,31717,10,
10,1,true,34062,11,
10,1,true,34896,12,
10,1,true,35904,13,
10,1,true,38205,14,
10,1,true,38801,15,
10,1,true,45195,1,
10,1,true,46654,2,
10,1,true,48472,3,
10,1,true,49275,4,
10,1,true,50634,5,
10,1,true,52408,6,
10,1,true,53373,7,
10,1,true,55521,8,
10,1,true,57521,9,
10,1,true,58563,10,
10,1,true,61841,11,
10,1,true,63706,12,
10,1,true,64418,13,
10,1,true,65605,14,
10,1,true,68329,15,
10,1,true,69424,16,
10,2,false,0,0,
10,2,false,11796,1,
10,2,false,13618,2,
10,2,false,15942,3,
10,2,false,17903,4,
10,2,false,18753,5,
10,2,false,19849,6,
10,2,false,21503,7,
10,2,false,24023,8,
10,2,false,25891,9,
10,2,false,28951,10,
10,2,false,31629,11,
10,2,false,33051,12,
10,2,false,35431,13,
10,2,false,37285,14,
10,2,false,40306,15,
10,2,false,42703,16,
10,2,false,46050,17,
10,2,false,47580,18,
10,2,false,48363,19,
10,2,false,49626,20,
10,2,false,52287,21,
10,2,false,58948,1,
10,2,false,60071,2,
10,2,false,61494,3,
10,2,false,63781,4,
10,2,false,65479,5,
